\fixlen = T
\RowsRetrieved = 9667
\ORIGIN = IPAC Infrared Science Archive (IRSA), Caltech/JPL
\SIMULATED_TABLE = n
\DATETIME = 2022-06-21 03:09:16
\DataTag = ADS/IRSA.Gator#2022/0621/030916_11866
\DATABASE = ZTF DR11 Objects (ztf_objects_dr11)
\EQUINOX = J2000
\SKYAREA = within 225 arcsec of  ra=5.07208 dec=+59.30389 Eq J2000 
\StatusFile = /workspace/TMP_wibCZC_6485/Gator/irsa/11866/log.11866.html
\SQL = 'WHERE (no constraints)
\SQL = SELECT (23 column names follow in next row.)
\ 
\ 
\ oid
\ ___ Unique object identifier
\ ra (deg)
\ ___ Object Right Ascension
\ dec (deg)
\ ___ Object Declination
\ field
\ ___ Field identifier
\ ccdid
\ ___ CCD identifier (1-16)
\ qid
\ ___ Quadrant (1-4)
\ filtercode
\ ___ Filter code (zg, zr, zi)
\ ngoodobs
\ ___ Number of epochal detections that were not flagged or masked due to bad pixels
\ ngoodobsrel
\ ___ Number of epochal detections in this release not associated with bad pixels
\ nobs
\ ___ Total number of epochal detections (observation epochs) in the lightcurve
\ nobsrel
\ ___ Total number of epochal detections that are in this release
\ refmag (mag)
\ ___ Object magnitude from reference image if detected (not transient)
\ refmagerr (mag)
\ ___ Error in refMag
\ astrometricrms (deg)
\ ___ Root Mean Squared deviation in epochal positions relative to object RA,Dec
\ chisq
\ ___ Chi-square metric using nobs detections
\ magrms (mag)
\ ___ Root Mean Squared deviation over nobs magnitudes
\ maxmag (mag)
\ ___ Maximum magnitude over nobs detections
\ medianabsdev (mag)
\ ___ Median absolute deviation in magnitudes over nobs detections
\ medianmag (mag)
\ ___ Median magnitude over nobs detections
\ medmagerr (mag)
\ ___ Median of magerr values over nobs detections
\ minmag (mag)
\ ___ Minimum magnitude over nobs detections
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|oid             |ra       |dec       |field|ccdid|qid |filtercode|ngoodobs|ngoodobsrel|nobs|nobsrel|refmag      |refmagerr   |astrometricrms|chisq       |magrms      |maxmag      |medianabsdev|medianmag   |medmagerr   |minmag      |dist      |angle     |
|long            |double   |double    |int  |int  |int |char      |int     |int        |int |int    |double      |double      |double        |double      |double      |double      |double      |double      |double      |double      |double    |double    |
|                |deg      |deg       |     |     |    |          |        |           |    |       |mag         |mag         |deg           |            |mag         |mag         |mag         |mag         |mag         |mag         |arcsec    |deg       |
|null            |null     |null      |null |null |null|null      |null    |null       |null|null   |null        |null        |null          |null        |null        |null        |null        |null        |null        |null        |null      |null      |
 1809211300066803 4.9928399 59.2840451  1809    11    3 zr                1           1    1       1 2.177300E+01 1.290000E-01   0.000000E+00 0.000000E+00         null 2.138108E+01 0.000000E+00 2.138108E+01 2.141385E-01 2.138108E+01 162.241635 243.908433 
 1809111300047824 5.0094559 59.3356712  1809    11    3 zg                1           1    1       1 2.292800E+01 3.300000E-01   0.000000E+00 0.000000E+00         null 2.185364E+01 0.000000E+00 2.185364E+01 2.455347E-01 2.185364E+01 162.243146 314.871855 
  806303100082538 5.1587240 59.2952671   806     3    1 zi               34          30   38      33 2.000400E+01 6.000000E-02   8.821925E-07 1.158558E+00 1.370793E-01 2.040779E+01 8.075809E-02 2.008824E+01 1.033457E-01 1.987254E+01 162.247024 100.993056 
 1809111300042504 4.9967858 59.3274623  1809    11    3 zg                0           0    0       0 2.280500E+01 2.440000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 162.279587 301.561123 
  806203100051721 5.1261916 59.3395310   806     3    1 zr              510         503  526     519 2.021200E+01 5.300000E-02   1.594332E-06 2.098539E+00 2.651118E-01 2.098653E+01 1.856279E-01 2.029219E+01 1.311446E-01 1.948582E+01 162.300474  37.739245 
  806103400041967 5.0461571 59.2607909   806     3    4 zg               16          16   16      16 2.171100E+01 1.400000E-01   2.237489E-06 7.870830E-01 3.772545E-01 2.202378E+01 1.054564E-01 2.155782E+01 1.986443E-01 2.053058E+01 162.314611 197.090019 
 1809111300004657 5.1573637 59.3156604  1809    11    3 zg                0           0    0       0 2.271100E+01 2.130000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 162.330476  74.832032 
  806303100043778 5.1573723 59.3156447   806     3    1 zi               36          33   40      36 2.047900E+01 5.700000E-02   8.926780E-07 1.315111E+00 1.669226E-01 2.089816E+01 1.188488E-01 2.048058E+01 1.339851E-01 2.016897E+01 162.331022  74.852745 
 1809111300042570 4.9855640 59.3130153  1809    11    3 zg                0           0    0       0 2.317700E+01 3.600000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 162.331734 281.712783 
 1809111300004820 5.1596340 59.3099695  1809    11    3 zg                5           5    5       5 2.166400E+01 9.400000E-02   1.644643E-06 6.749143E-01 2.469149E-01 2.154317E+01 9.643173E-02 2.138072E+01 2.118338E-01 2.090530E+01 162.369288  82.215723 
  806303100091424 5.1569335 59.2913399   806     3    1 zi                6           5    6       5 2.124800E+01 1.190000E-01   1.623508E-06 1.648173E+00 1.944880E-01 2.120107E+01 1.860075E-01 2.096845E+01 1.673215E-01 2.072065E+01 162.379855 106.118629 
 1809211300054003 5.1262558 59.3395353  1809    11    3 zr               56          56   57      57 2.020200E+01 4.600000E-02   1.355884E-06 1.946699E+00 2.567930E-01 2.067371E+01 1.572447E-01 2.019349E+01 1.197571E-01 1.954596E+01 162.384943  37.768764 
 1809111300028272 5.1262082 59.3395599  1809    11    3 zg                5           5    6       6 2.143300E+01 7.800000E-02   1.625081E-06 2.235746E+00 3.460157E-01 2.149044E+01 3.050194E-01 2.109399E+01 2.022688E-01 2.063055E+01 162.401374  37.725252 
 1809211300008120 5.1588293 59.2952864  1809    11    3 zr               54          54   54      54 2.061600E+01 5.700000E-02   1.111036E-06 1.262429E+00 1.848734E-01 2.097751E+01 1.281395E-01 2.053448E+01 1.504873E-01 2.022748E+01 162.423684 100.955895 
  806303100091195 5.0014770 59.3310613   806     3    1 zi                4           4    4       4 2.075300E+01 9.800000E-02   2.189113E-06 7.471586E-01 1.431761E-01 2.073582E+01 6.866837E-02 2.051134E+01 1.362599E-01 2.039696E+01 162.449324 307.053425 
 1809211300007710 4.9838492 59.3010354  1809    11    3 zr               71          71   86      86 1.305500E+01 1.700000E-02   1.464160E-07 1.106243E+00 1.145891E-02 1.308417E+01 7.351875E-03 1.304957E+01 9.853072E-03 1.302003E+01 162.477762 266.411612 
  806303100044479 4.9838492 59.3010243   806     3    1 zi               38          34   44      39 1.298000E+01 2.100000E-02   9.933691E-08 1.077206E+00 9.683179E-03 1.300154E+01 8.122444E-03 1.297922E+01 1.117923E-02 1.296179E+01 162.480321 266.397550 
 1809111300004994 4.9838474 59.3010377  1809    11    3 zg               66          66   70      70 1.333700E+01 1.300000E-02   2.706980E-07 8.335418E-01 1.027138E-02 1.336296E+01 6.554127E-03 1.334212E+01 1.165766E-02 1.330861E+01 162.480534 266.414600 
  806103100035942 5.1262234 59.3395818   806     3    1 zg               48          48   56      56 2.152500E+01 1.040000E-01   1.796828E-06 1.415951E+00 3.555920E-01 2.179759E+01 1.781654E-01 2.139434E+01 1.865517E-01 2.008534E+01 162.480788  37.716001 
  806303100061440 5.1375751 59.3342260   806     3    1 zi               44          40   49      44 1.495600E+01 2.200000E-02   1.037282E-07 1.090992E+00 1.285385E-02 1.498880E+01 7.845402E-03 1.495649E+01 1.066148E-02 1.492616E+01 162.484231  47.740612 
  806203100023513 4.9838358 59.3010536   806     3    1 zr              846         837 1215    1204 1.305400E+01 1.500000E-02   2.255428E-07 1.139472E+00 1.610796E-02 1.311378E+01 9.487152E-03 1.304856E+01 1.234401E-02 1.298845E+01 162.498166 266.435222 
 1809211300006322 5.1375812 59.3342311  1809    11    3 zr               77          77   86      86 1.523100E+01 1.600000E-02   1.330517E-07 1.084466E+00 1.130503E-02 1.527704E+01 7.975578E-03 1.524215E+01 1.090361E-02 1.521289E+01 162.504862  47.738470 
  806103100019188 5.1375649 59.3342429   806     3    1 zg              362         353  470     459 1.604900E+01 1.400000E-02   2.146348E-07 9.300239E-01 1.769651E-02 1.609706E+01 1.110363E-02 1.604891E+01 1.770088E-02 1.598624E+01 162.511238  47.720287 
 1809111300004086 5.1375833 59.3342333  1809    11    3 zg               66          66   70      70 1.602600E+01 1.600000E-02   2.708459E-07 1.049310E+00 1.575685E-02 1.607002E+01 1.128387E-02 1.602902E+01 1.594330E-02 1.598710E+01 162.513038  47.737315 
  806203100022322 5.1375602 59.3342468   806     3    1 zr              876         867 1235    1224 1.523500E+01 2.000000E-02   2.425859E-07 8.993638E-01 1.315265E-02 1.528911E+01 7.816315E-03 1.524463E+01 1.288518E-02 1.519514E+01 162.514283  47.714577 
  806103100020079 4.9838203 59.3010522   806     3    1 zg              337         328  441     430 1.337100E+01 1.100000E-02   2.225012E-07 9.696679E-01 1.572010E-02 1.341379E+01 9.615898E-03 1.335615E+01 1.470249E-02 1.329674E+01 162.526916 266.434086 
  806203400030505 5.0365555 59.2625417   806     3    4 zr              467         459  761     751 1.628800E+01 1.200000E-02   2.879972E-07 1.119322E+00 2.399150E-02 1.634179E+01 1.067924E-02 1.625875E+01 1.414521E-02 1.593567E+01 162.557013 203.709572 
  806303400088898 5.0907361 59.2597503   806     3    4 zi                1           0    1       0 2.179600E+01 2.270000E-01   0.000000E+00 0.000000E+00         null 2.151762E+01 0.000000E+00 2.151762E+01 2.074258E-01 2.151762E+01 162.564246 167.808737 
  806203100043499 5.1575419 59.3155825   806     3    1 zr              214         210  214     210 2.108500E+01 9.400000E-02   1.264965E-06 1.155740E+00 2.372665E-01 2.180306E+01 1.551056E-01 2.117920E+01 1.989716E-01 2.043788E+01 162.573914  74.957502 
  806103400029813 5.0365421 59.2625388   806     3    4 zg              191         181  229     219 1.727500E+01 1.700000E-02   2.953453E-07 1.233792E+00 3.247490E-02 1.743464E+01 1.983261E-02 1.730441E+01 2.383208E-02 1.720111E+01 162.576477 203.716052 
  806303100082156 4.9879113 59.3178214   806     3    1 zi               40          36   44      39 2.003200E+01 3.800000E-02   7.921799E-07 1.183714E+00 1.049593E-01 2.024079E+01 7.577419E-02 1.997199E+01 9.490704E-02 1.978072E+01 162.577973 288.004203 
 1809111300029170 5.0365776 59.2625289  1809    11    3 zg               66          66   70      70 1.728700E+01 2.000000E-02   4.420905E-07 9.698028E-01 3.679817E-02 1.733997E+01 1.488686E-02 1.728394E+01 2.275850E-02 1.711996E+01 162.582892 203.689926 
 1809211300009483 5.0365696 59.2625248  1809    11    3 zr               77          77   86      86 1.625400E+01 1.900000E-02   1.310020E-07 1.419074E+00 1.692465E-02 1.631625E+01 1.236725E-02 1.625477E+01 1.292088E-02 1.622229E+01 162.602318 203.692590 
  806303100082042 5.1454869 59.3291360   806     3    1 zi                0           0    0       0 2.174300E+01 1.640000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 162.620824  55.990033 
  806303400059692 5.0365641 59.2625171   806     3    4 zi               36          31   39      34 1.583200E+01 2.000000E-02   1.084120E-07 1.195313E+00 1.355976E-02 1.583962E+01 8.969784E-03 1.581834E+01 1.112563E-02 1.578804E+01 162.631769 203.691936 
  806203100022897 4.9878757 59.3178211   806     3    1 zr              169         165  169     165 2.114500E+01 8.300000E-02   1.764818E-06 1.343931E+00 3.188648E-01 2.190566E+01 1.776505E-01 2.113820E+01 1.959807E-01 1.983979E+01 162.639862 287.996748 
  806103100019488 5.1514221 59.3239384   806     3    1 zg              182         177  220     214 2.085200E+01 6.200000E-02   1.547979E-06 1.079461E+00 2.032797E-01 2.143719E+01 1.115828E-01 2.084424E+01 1.532547E-01 2.028898E+01 162.656961  63.624380 
 1809211300006932 4.9878608 59.3178288  1809    11    3 zr               14          14   14      14 2.127900E+01 8.000000E-02   7.711568E-07 1.518237E+00 2.094488E-01 2.128556E+01 1.892662E-01 2.099117E+01 1.848237E-01 2.057074E+01 162.674437 288.003071 
 1809211300062203 4.9963377 59.2805246  1809    11    3 zr                3           3    3       3 2.179800E+01 1.320000E-01   3.923254E-06 0.000000E+00 2.483525E-01 2.160504E+01 0.000000E+00 2.120635E+01 2.010020E-01 2.114914E+01 162.677462 238.896731 
  806303400087969 5.1057987 59.2621054   806     3    4 zi                6           5    6       5 2.155800E+01 1.370000E-01   1.521823E-06 4.837638E-01 1.439165E-01 2.142424E+01 5.834007E-02 2.110729E+01 1.787959E-01 2.103698E+01 162.702468 157.584243 
 1809211300062109 5.1571009 59.2912786  1809    11    3 zr                0           0    0       0 2.229700E+01 1.990000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 162.736986 106.163029 
  806303100088753 4.9899287 59.2870397   806     3    1 zi               22          18   26      21 2.049600E+01 6.000000E-02   1.236672E-06 8.733020E-01 1.587103E-01 2.084122E+01 7.834721E-02 2.045467E+01 1.330096E-01 2.009931E+01 162.738831 248.149937 
  806203100065934 4.9835218 59.3035270   806     3    1 zr                3           3    4       4 2.175000E+01 1.890000E-01   2.241966E-06 0.000000E+00 2.747321E-01 2.044394E+01 0.000000E+00 2.029844E+01 1.173675E-01 1.991233E+01 162.753434 269.578024 
  806303100061944 4.9852865 59.3129098   806     3    1 zi               36          32   40      35 2.030500E+01 5.200000E-02   9.179858E-07 8.059325E-01 2.076062E-01 2.077901E+01 6.927776E-02 2.040236E+01 1.274439E-01 1.955554E+01 162.755165 281.545621 
  806203100022718 5.1514655 59.3239760   806     3    1 zr              808         799  872     862 1.960100E+01 3.600000E-02   8.651712E-07 1.002991E+00 1.023943E-01 1.995684E+01 5.394268E-02 1.955783E+01 7.973694E-02 1.905821E+01 162.788428  63.594106 
 1809211300006783 5.1514878 59.3239557  1809    11    3 zr               74          74   79      79 1.953200E+01 2.200000E-02   5.340843E-07 9.434688E-01 9.215412E-02 1.982088E+01 4.793262E-02 1.955210E+01 7.532301E-02 1.937458E+01 162.792733  63.623552 
  806303100043334 5.1514860 59.3239580   806     3    1 zi               43          39   48      43 1.898700E+01 2.900000E-02   3.204429E-07 8.940853E-01 5.507114E-02 1.913774E+01 2.771378E-02 1.897616E+01 4.595584E-02 1.888121E+01 162.793439  63.620424 
 1809211300042341 4.9852871 59.3129727  1809    11    3 zr               23          23   23      23 2.122500E+01 1.050000E-01   1.800800E-06 1.347691E+00 2.657261E-01 2.148464E+01 1.643353E-01 2.093747E+01 1.807858E-01 2.044031E+01 162.799269 281.623799 
 1809111300004379 5.1515095 59.3239477  1809    11    3 zg               21          21   23      23 2.082200E+01 4.500000E-02   1.962944E-06 1.719593E+00 2.718106E-01 2.112579E+01 1.954250E-01 2.077251E+01 1.684917E-01 2.024639E+01 162.815702  63.638853 
  806303100082201 5.1568699 59.3170613   806     3    1 zi                0           0    0       0 2.179800E+01 1.650000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 162.848030  73.035451 
  806303100074005 4.9889365 59.2882225   806     3    1 zi                5           4    5       4 2.150700E+01 1.030000E-01   6.750692E-07 1.529673E+00 1.961821E-01 2.110980E+01 1.631870E-01 2.083338E+01 1.581652E-01 2.066569E+01 162.907391 249.779011 
  806103400000081 5.0863026 59.2592240   806     3    4 zg              202         193  222     213 1.959500E+01 2.700000E-02   1.081866E-06 8.088250E-01 9.986081E-02 1.994456E+01 4.209232E-02 1.962648E+01 7.715647E-02 1.912597E+01 162.910817 170.755303 
  806203400000099 5.0863116 59.2592131   806     3    4 zr              511         502  674     663 1.863600E+01 2.200000E-02   5.405324E-07 1.079997E+00 5.660937E-02 1.886670E+01 2.960205E-02 1.861268E+01 4.063716E-02 1.841372E+01 162.952206 170.751769 
 1809211300054803 5.1370830 59.2731136  1809    11    3 zr                0           0    0       0 2.248000E+01 1.510000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 162.968948 132.804260 
 1809111300029212 5.0863315 59.2592085  1809    11    3 zg               61          61   63      63 1.962500E+01 3.000000E-02   9.557550E-07 1.141247E+00 1.016473E-01 1.989805E+01 6.466293E-02 1.962387E+01 8.400398E-02 1.942449E+01 162.974432 170.739997 
  806103100035893 5.1034343 59.3462428   806     3    1 zg               54          52   56      54 2.157800E+01 9.300000E-02   1.792995E-06 1.243268E+00 2.712425E-01 2.188135E+01 1.610250E-01 2.149378E+01 1.920228E-01 2.065930E+01 162.982182  20.677200 
  806303100082125 4.9904344 59.3215940   806     3    1 zi               11          10   12      11 1.764400E+01 3.100000E-02   1.383108E-07 6.107829E-01 1.587451E-02 1.768084E+01 8.152008E-03 1.764716E+01 1.978799E-02 1.762244E+01 162.983055 293.054903 
 1809211300009696 5.0863389 59.2592036  1809    11    3 zr               77          77   86      86 1.860100E+01 1.800000E-02   2.962307E-07 1.081892E+00 4.423274E-02 1.873072E+01 2.805901E-02 1.861137E+01 3.845142E-02 1.847184E+01 162.994031 170.736269 
  806303400043554 5.0863319 59.2591990   806     3    4 zi               37          32   40      35 1.811400E+01 2.200000E-02   1.882422E-07 1.094523E+00 2.356372E-02 1.817662E+01 1.897812E-02 1.811489E+01 2.570704E-02 1.807111E+01 163.008306 170.741673 
 1809211300005741 5.1033851 59.3462679  1809    11    3 zr               56          56   58      58 2.042300E+01 3.900000E-02   1.140239E-06 1.077346E+00 1.740082E-01 2.085582E+01 1.021528E-01 2.042341E+01 1.405786E-01 1.988707E+01 163.034822  20.636287 
 1809211300061861 4.9859487 59.3147702  1809    11    3 zr                3           3    3       3 2.233000E+01 2.150000E-01   7.895676E-07 0.000000E+00 4.087565E-01 2.169587E+01 0.000000E+00 2.127501E+01 2.061641E-01 2.087848E+01 163.036937 283.937999 
 1809211300066590 5.1540211 59.3212931  1809    11    3 zr                0           0    0       0 2.273500E+01 3.030000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 163.064234  67.369972 
  806203100021854 5.1033317 59.3462915   806     3    1 zr              528         522  536     530 2.043700E+01 6.100000E-02   1.160349E-06 1.009600E+00 1.696657E-01 2.096441E+01 9.935760E-02 2.046051E+01 1.459068E-01 1.981932E+01 163.079776  20.593534 
 1809211300062081 4.9869352 59.2911545  1809    11    3 zr               47          47   48      48 2.061100E+01 3.600000E-02   1.190546E-06 1.217002E+00 1.947345E-01 2.093106E+01 1.240482E-01 2.054589E+01 1.511204E-01 1.988462E+01 163.081005 253.708645 
 1809111300053498 4.9839688 59.2984915  1809    11    3 zg                0           0    0       0 2.148500E+01 8.100000E-02   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 163.100720 263.194428 
  806303100062520 4.9869241 59.2911532   806     3    1 zi               34          30   37      32 1.993900E+01 5.200000E-02   5.928374E-07 1.686169E+00 1.229346E-01 2.013589E+01 1.042948E-01 1.991525E+01 9.170339E-02 1.965779E+01 163.101903 253.709087 
  806303100061106 5.1033391 59.3462981   806     3    1 zi               38          34   41      36 1.993900E+01 4.000000E-02   6.545718E-07 1.080730E+00 1.100750E-01 2.018860E+01 6.704044E-02 1.992038E+01 9.196948E-02 1.971996E+01 163.106797  20.595060 
  806203100043910 4.9869010 59.2911840   806     3    1 zr              424         419  428     423 2.062500E+01 8.100000E-02   1.266791E-06 1.109978E+00 1.886634E-01 2.114487E+01 1.189795E-01 2.063018E+01 1.589211E-01 1.996820E+01 163.111454 253.750661 
 1809211300043320 5.0707570 59.2585838  1809    11    3 zr               12          12   13      13 2.126800E+01 8.200000E-02   1.125377E-06 1.171064E+00 2.832667E-01 2.152270E+01 1.543379E-01 2.114836E+01 1.953962E-01 2.045119E+01 163.120465 180.855172 
  806303400090359 5.0772717 59.2586531   806     3    4 zi                2           1    2       1 2.177000E+01 1.740000E-01   1.307703E-06 0.000000E+00 1.114201E-01 2.111728E+01 0.000000E+00 2.103849E+01 1.739956E-01 2.095971E+01 163.132460 176.642604 
 1809211300073442 4.9899072 59.2867686  1809    11    3 zr                7           7    7       7 2.115100E+01 1.110000E-01   3.496646E-06 1.688089E+00 2.245572E-01 2.114564E+01 2.025032E-01 2.089846E+01 1.778527E-01 2.053255E+01 163.142284 247.837141 
 1809211300070134 5.1569392 59.3172406  1809    11    3 zr                1           1    1       1 2.251300E+01 1.950000E-01   0.000000E+00 0.000000E+00         null 2.101907E+01 0.000000E+00 2.101907E+01 1.869206E-01 2.101907E+01 163.158429  72.831549 
  806203400055775 5.1221761 59.2664790   806     3    4 zr              163         160  169     165 2.064200E+01 7.800000E-02   1.376561E-06 1.054039E+00 1.914824E-01 2.126173E+01 1.135654E-01 2.065432E+01 1.597400E-01 2.012254E+01 163.167591 145.608190 
  806303400086289 5.0707613 59.2585699   806     3    4 zi               22          20   23      21 2.068300E+01 9.100000E-02   9.211829E-07 1.391849E+00 1.790720E-01 2.094717E+01 1.331787E-01 2.056524E+01 1.418622E-01 2.030031E+01 163.170382 180.852131 
 1809111300045715 5.1033854 59.3463096  1809    11    3 zg                5           5    5       5 2.166000E+01 9.200000E-02   1.576030E-06 1.162562E+00 2.554477E-01 2.180857E+01 1.709480E-01 2.146736E+01 2.180078E-01 2.129641E+01 163.175487  20.617867 
  806203100043512 4.9850870 59.3130224   806     3    1 zr              226         224  228     226 2.125300E+01 1.260000E-01   1.488111E-06 1.219807E+00 2.563915E-01 2.164955E+01 1.582708E-01 2.109468E+01 1.923684E-01 2.031122E+01 163.195312 281.659503 
 1809111300005300 4.9868233 59.2912288  1809    11    3 zg                2           2    2       2 2.198900E+01 1.220000E-01   1.439054E-06 0.000000E+00 1.248073E-01 2.159414E+01 0.000000E+00 2.150589E+01 2.207537E-01 2.141764E+01 163.203332 253.819093 
 1809111300028922 4.9923764 59.2839054  1809    11    3 zg                0           0    0       0 2.261800E+01 2.480000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 163.228369 243.881879 
  806303100061081 5.0955443 59.3476234   806     3    1 zi               26          25   30      28 2.054600E+01 9.200000E-02   7.839963E-07 8.626958E-01 1.573820E-01 2.072884E+01 8.002567E-02 2.051379E+01 1.375294E-01 2.000875E+01 163.231406  15.297658 
  806303400087954 5.1221343 59.2664386   806     3    4 zi               27          22   29      24 2.001700E+01 5.300000E-02   8.887005E-07 1.321219E+00 1.408141E-01 2.042412E+01 9.353638E-02 2.012271E+01 1.049615E-01 1.983504E+01 163.244344 145.659277 
  806203400044294 5.0707602 59.2585485   806     3    4 zr               57          54   57      54 2.134200E+01 1.200000E-01   1.687867E-06 1.252199E+00 2.779332E-01 2.161882E+01 1.671505E-01 2.115880E+01 1.979058E-01 2.030287E+01 163.247443 180.852440 
  806303100073502 4.9858073 59.3147262   806     3    1 zi                8           6   10       7 2.120400E+01 1.580000E-01   1.453712E-06 1.312696E+00 2.118525E-01 2.137680E+01 1.562691E-01 2.110377E+01 1.764951E-01 2.077901E+01 163.251331 283.862179 
  806303100091130 5.0537286 59.3482614   806     3    1 zi                0           0    0       0 2.257500E+01 3.570000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 163.253869 348.093706 
 1809211300041817 5.0955414 59.3476317  1809    11    3 zr               24          24   24      24 2.119500E+01 8.300000E-02   1.962572E-06 1.054027E+00 2.351487E-01 2.145694E+01 1.319408E-01 2.100135E+01 1.855887E-01 2.046013E+01 163.258819  15.293086 
  806103100042719 4.9841594 59.2973268   806     3    1 zg                0           0    0       0 2.298400E+01 3.200000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 163.309408 261.719083 
 1809211300043198 5.1222098 59.2664407  1809    11    3 zr               48          48   49      49 2.079100E+01 6.500000E-02   1.288764E-06 9.542817E-01 1.715228E-01 2.109136E+01 1.058741E-01 2.072209E+01 1.644890E-01 2.035544E+01 163.316412 145.617525 
  806103100045256 4.9887568 59.2881157   806     3    1 zg                0           0    0       0 2.267500E+01 3.210000E-01  1.028000E-320         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 163.350808 249.692715 
  806103100029539 5.0018859 59.3317689   806     3    1 zg                0           0    0       0 2.251200E+01 3.440000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 163.401321 307.925300 
 1809211300073304 5.0535494 59.3482943  1809    11    3 zr                0           0    0       0 2.278800E+01 2.450000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 163.437969 347.989471 
 1809111300037617 5.1221780 59.2663855  1809    11    3 zg                1           1    1       1 2.241600E+01 1.660000E-01   0.000000E+00 0.000000E+00         null 2.158688E+01 0.000000E+00 2.158688E+01 2.265254E-01 2.158688E+01 163.447574 145.673754 
  806303100073212 4.9994145 59.3300904   806     3    1 zi                4           3    7       5 2.143900E+01 2.030000E-01   1.624942E-06 1.163893E+00 2.410202E-01 2.146880E+01 1.441641E-01 2.111493E+01 1.836404E-01 2.092085E+01 163.449960 305.275694 
  806203100042895 5.0953906 59.3477081   806     3    1 zr              156         155  157     156 2.110700E+01 8.200000E-02   1.710196E-06 1.156820E+00 2.384346E-01 2.185400E+01 1.516275E-01 2.111566E+01 1.943284E-01 2.018064E+01 163.451352  15.174049 
  806103100029366 5.0953525 59.3477154   806     3    1 zg                4           3    5       4 2.232400E+01 1.930000E-01   2.188920E-06 4.067020E-01 1.889413E-01 2.193823E+01 5.431271E-02 2.160094E+01 1.979927E-01 2.151169E+01 163.458403  15.147980 
  806203100052206 4.9853075 59.2939346   806     3    1 zr                0           0    0       0 2.248900E+01 2.860000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 163.466218 257.372513 
 1809211300070270 4.9863027 59.2918861  1809    11    3 zr                2           2    2       2 2.193500E+01 1.320000E-01   4.038321E-06 0.000000E+00 4.157851E-01 2.110844E+01 0.000000E+00 2.081443E+01 1.715353E-01 2.052043E+01 163.479549 254.709194 
 1809211300053910 5.0974201 59.3474225  1809    11    3 zr                1           1    1       1 2.179200E+01 1.410000E-01   0.000000E+00 0.000000E+00         null 2.156409E+01 0.000000E+00 2.156409E+01 2.278981E-01 2.156409E+01 163.481127  16.528464 
  806303100093131 5.1589859 59.2942171   806     3    1 zi                1           1    2       1 2.173400E+01 2.000000E-01   0.000000E+00 0.000000E+00         null 2.097231E+01 0.000000E+00 2.097231E+01 1.877052E-01 2.097231E+01 163.485168 102.260888 
  806103100048028 5.0595495 59.3488558   806     3    1 zg               13          13   13      13 2.254500E+01 2.390000E-01   2.267509E-06 1.459363E+00 3.987027E-01 2.230463E+01 2.059364E-01 2.176522E+01 2.092155E-01 2.087924E+01 163.504450 351.914360 
  806303100094908 5.1541804 59.3214260   806     3    1 zi                0           0    0       0 2.226600E+01 2.960000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 163.518329  67.254491 
  806303100092955 5.0918984 59.3481816   806     3    1 zi                1           1    1       1 2.211300E+01 2.010000E-01   0.000000E+00 0.000000E+00         null 2.154138E+01 0.000000E+00 2.154138E+01 2.061609E-01 2.154138E+01 163.551211  12.850011 
  806103400035837 5.0821503 59.2587498   806     3    4 zg                3           3    3       3 2.279000E+01 2.870000E-01   3.055044E-06 0.000000E+00 4.584137E-01 2.190305E+01 0.000000E+00 2.118335E+01 1.754665E-01 2.105131E+01 163.556516 173.494334 
