oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag,dist,angle,GroupID,GroupSize
806303100088439,5.0311362,59.3134944,806,3,1,zi,14,11,17,13,20.898,0.111,8.916363E-7,0.7880546,0.1722052,21.18531,0.0844593,20.86155,0.1588968,20.54648,82.79846,294.700154,,
1809111300047871,5.0381537,59.319035,1809,11,3,zg,15,15,16,16,21.154,0.081,2.105981E-6,1.29035,0.3914967,21.21005,0.1641712,21.01344,0.1886312,19.82658,82.814092,311.189975,468,5
806303100062701,5.0498058,59.2838911,806,3,1,zi,30,26,33,28,20.529,0.098,9.943904E-7,1.443082,0.1936062,20.85707,0.1285105,20.45878,0.1320297,20.06654,82.825301,209.637771,471,2
806103100045175,5.1166508,59.3004796,806,3,1,zg,17,16,19,18,21.689,0.141,4.915339E-6,1.338017,0.2297269,21.86097,0.1642418,21.31968,0.1819894,21.0251,82.828816,98.505011,472,3
1809111300053162,5.1009606,59.286222,1809,11,3,zg,4,4,4,4,21.933,0.108,1.582621E-6,0.4708895,0.2211642,21.48475,0.0679903,21.41207,0.2140681,21.01171,82.849298,140.136884,,
806303100091409,5.1111677,59.2924183,806,3,1,zi,19,17,23,20,20.241,0.091,1.523735E-6,1.751112,0.1624728,20.52302,0.1316948,20.17038,0.111501,19.90596,82.869073,119.874344,473,5
806303100073353,5.0459439,59.3226573,806,3,1,zi,4,3,6,4,21.231,0.131,1.890017E-6,0.09000783,0.1284181,21.24617,0.0102644,20.9943,0.1690741,20.98116,82.887941,324.608868,464,5
806203100056850,5.0500895,59.3239949,806,3,1,zr,101,98,101,98,21.276,0.117,1.660025E-6,1.262456,0.3270201,21.80038,0.1706276,21.19852,0.2003813,19.6348,82.890055,330.839337,465,3
806103100047239,5.1111659,59.2924006,806,3,1,zg,109,105,122,118,21.048,0.091,1.522076E-6,1.261529,0.200907,21.26433,0.1259937,20.76858,0.148073,20.12288,82.897996,119.91366,473,5
806203100063267,5.0280529,59.308911,806,3,1,zr,21,21,21,21,21.782,0.16,2.399821E-6,1.402707,0.3098437,21.84004,0.211092,21.51015,0.223115,20.81738,82.899206,282.61305,470,4
