SourceID,filter,OID,RA,DEC,numobs,sf,FAP,period,period_w,power,power_w,mean,std,min,max,upsilon_class,upsilon_prob,upsilon_flag,upsilon_period,identifier,dist,type,Gaia_count,multiflag,GaiaDist,fluxratio,Gmag,Plx,e_Plx,Plxflag,RUWE,XMM,XMM_dist,Chandra,Chandra_dist,inside_flag,ic10_flag,lc_var,var,var_flag
218,zr,806203100063338,5.0970868,59.2950727,438,0.9643962555481654,0.0013743667014678757,0.13870238000074173,0.9973357126290449,0.10331888517805396,0.003911511811351602,20.27375602722168,0.15770642459392548,19.662986755371094,20.712244033813477,NonVar,0.61,1.0,0.037498588941778245,LGGS J002023.35+591742.2,0.253538,WR*,1,0,0.107419,0.0,20.251778,0.2824,0.5816,0,1.127,0,,0,,True,True,N,N,False
219,zr,1809211300007878,5.1012626,59.2994615,57,0.985444522057734,0.011794766837905264,0.6030230968049453,2800.0,0.33599598283016463,0.06374044420777389,20.2271671295166,0.13479618728160858,19.920326232910156,20.56875228881836,DSCT,0.68,1.0,0.047519703634929876,[HL90]  99,1.182444,HII,1,0,0.046638,0.0,20.091343,0.4794,0.4772,1,1.037,0,,0,,True,False,N,N,False
219,zr,806203100023604,5.1012793,59.299465,539,0.9999979264390295,0.04040981286788802,0.17498073015398127,0.9973306993528436,0.06839641934223285,0.0072373410594317,20.243106842041016,0.15077288448810577,19.757291793823242,20.71762466430664,EB_ED,0.55,1.0,0.05449387378824169,[HL90]  99,1.182444,HII,1,0,0.046638,0.0,20.091343,0.4794,0.4772,1,1.037,0,,0,,True,False,N,N,False
218,zr,1809211300062069,5.0972231,59.2950198,40,0.9948001257939044,0.1286103112373486,0.11154144594658286,2800.0,0.3535988151417469,0.12151394243601997,20.311094284057617,0.13220317661762238,20.027599334716797,20.597524642944336,DSCT,0.48,1.0,0.04450290777271745,LGGS J002023.35+591742.2,0.253538,WR*,1,0,0.107419,0.0,20.251778,0.2824,0.5816,0,1.127,0,,0,,True,True,N,N,False
221,zr,806203100064639,5.1026202,59.3050297,540,0.9999999990551,0.0338049184925197,0.10578108568541138,0.997336033066433,0.07462290762314124,0.0015360182191589676,18.994041442871094,0.057558782398700714,18.7594051361084,19.174781799316406,RRL_ab,0.29,1.0,0.48200899603613245,[TG2009] 45,0.241056,Cl*,1,0,0.1108,0.0,19.14435,0.1511,0.228,0,1.085,0,,0,,True,True,N,N,False
222,zr,806203100066613,5.0510441,59.3152763,759,9.783180672950483e-08,0.0017712489642611826,427.0950756301266,0.997336033066433,0.06805568976688885,0.359187610184275,19.711593627929688,0.14429964125156403,19.22425651550293,20.10650062561035,NonVar,0.74,1.0,0.05113649296150991,,,,1,0,0.112923,0.0,19.767191,-0.1148,0.3428,0,1.015,0,,0,,True,True,V,V,False
216,zr,1809211300066774,5.0885335,59.2906331,39,2.935250478529093e-32,0.08554515396578577,0.2940548490190907,2800.0,0.378171784765325,0.06791399181626422,19.40829849243164,0.23482121527194977,18.90219497680664,19.995803833007812,DSCT,0.84,1.0,0.058429191603529565,LGGS J002021.25+591725.2,1.079264,Em*,3,1,1.451155,1.4668479041721414,20.553907,,,0,,0,,0,,True,True,V,V,False
223,zr,806203100043707,5.1028196,59.3033683,846,2.7699515132378596e-33,2.4417471025797287e-53,633.9218137007081,0.997336033066433,0.45527247001007415,0.03107799344601829,18.26998519897461,0.06768444925546646,18.02867889404297,18.436199188232422,LPV_OSARG_AGB,0.43,0.0,647.9578075285723,[TG2009] 46,0.402765,Cl*,2,1,0.2528,1.6623032841121892,19.217428,,,0,,0,,0,,True,True,P,P,False
223,zr,1809211300042518,5.1028279,59.3033526,77,2.7503188373530147e-06,9.42382775809694e-15,1.001219904450544,2800.0,0.6605742794996456,0.3852702106756494,18.25803565979004,0.06085432320833206,18.16069793701172,18.39496612548828,LPV_Mira_AGB_C,0.22,1.0,1328.6934374999983,[TG2009] 46,0.402765,Cl*,2,1,0.2528,1.6623032841121892,19.217428,,,0,,0,,0,,True,True,V,P,False
222,zr,1809211300066623,5.0509719,59.3153207,72,0.2911716884321965,0.09016767382787305,0.16583207151056917,2800.0,0.22979026168980898,0.025535867718371463,19.73023223876953,0.12893584370613098,19.408397674560547,20.09967041015625,EB_ED,0.44,1.0,0.05579926437510546,,,,1,0,0.112923,0.0,19.767191,-0.1148,0.3428,0,1.015,0,,0,,True,True,N,V,False
