SourceID,filter,OID,RA,DEC,numobs,sf,FAP,period,period_w,power,power_w,mean,std,min,max,upsilon_class,upsilon_prob,upsilon_flag,upsilon_period,identifier,dist,type,Gaia_count,multiflag,GaiaDist,fluxratio,Gmag,Plx,e_Plx,Plxflag,XMM,XMM_dist,Chandra,Chandra_dist,inside_flag,ic10_flag,lc_var,var,var_flag
181,zg,806103100019764,5.0504608,59.3133412,293,0.8529676244831251,1.6288144515452365e-12,1326.2980914772118,1.0000143393856216,0.21470329152973885,0.003904229725864518,19.911043167114258,0.12644870579242706,19.5738525390625,20.568462371826172,NonVar,0.44,0.0,1511.9616666,LGGS J002012.13+591848.0,0.064506,Em*,1,0,0.066736,0.0,18.915323,0.0553,0.1814,0,0,,0,,True,True,N,N,False
184,zg,806103100040269,5.0986632,59.2984379,306,0.13274855025262017,0.05525222333071616,0.18735723799247758,1.0000143393856216,0.06692860825627595,0.0012062296058175665,19.525270462036133,0.10727692395448685,19.186538696289062,20.058429718017578,NonVar,0.45,1.0,0.05853434592146185,LGGS J002023.71+591754.3,0.188365,Em*,2,1,0.104495,3.789105738800016,18.695534,0.1446,0.1565,0,0,,0,,True,True,N,N,False
184,zg,1809111300028745,5.098726,59.298429,62,0.27856224712878896,0.14075485323869813,0.4601377323483966,2800.0,0.2454529009681552,0.020184055197709123,19.479806900024414,0.10968253761529922,19.213882446289062,19.696168899536133,DSCT,0.57,1.0,0.03492492888035282,LGGS J002023.71+591754.3,0.188365,Em*,2,1,0.104495,3.789105738800016,18.695534,0.1446,0.1565,0,0,,0,,True,True,N,N,False
188,zg,1809111300047946,5.0962915,59.2959831,21,0.0004136814957771294,0.0023021281531353083,0.7457821266679314,2800.0,0.7349920349421403,0.6288148002589993,20.526906967163086,0.29331231117248535,19.90608787536621,21.119901657104492,DSCT,0.36,1.0,0.23048652174353812,LGGS J002023.01+591745.3,0.784284,Em*,3,1,1.017524,1.2999213971925128,20.009607,-0.1498,0.4354,0,0,,0,,True,True,N,V,False
187,zg,806103100029719,5.0871827,59.3163812,14,3.244659240779633e-05,0.007320011127709398,0.11788759946371877,0.9973279137403781,0.847232618921552,0.8289378029078404,21.637643814086914,0.3780398964881897,20.468767166137695,22.205224990844727,DSCT,0.55,1.0,0.05514484786426204,[TG2009] 38,0.350228,Cl*,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,True,True,N,N,False
188,zg,806103100048934,5.096284,59.2959606,130,9.292467457838567e-12,3.07665743706747e-05,363.1052795088386,1.0000110121384305,0.23770951125882617,0.42229469421787663,20.576635360717773,0.23296251893043518,19.653785705566406,21.143218994140625,DSCT,0.67,1.0,0.1447758523889087,LGGS J002023.01+591745.3,0.784284,Em*,3,1,1.017524,1.2999213971925128,20.009607,-0.1498,0.4354,0,0,,0,,True,True,V,V,False
189,zg,1809111300042677,5.0941693,59.2944194,53,0.0035668860469551425,0.0005696453036884895,0.9995325048746666,2800.0,0.4309418275195774,0.926254362781435,19.981178283691406,0.16674640774726868,19.35030746459961,20.314958572387695,DSCT,0.56,1.0,0.03696138669623022,,,,2,1,0.723329,1.131106328110499,20.276939,-0.0234,0.5931,0,0,,0,,True,True,N,N,False
189,zg,806103100036317,5.0941016,59.2943733,258,0.9977440881737933,0.0015650873108692552,0.15816590567605823,1.0000143393856216,0.10386766907764694,0.008611858910098785,20.00852394104004,0.11848059296607971,19.704944610595703,20.301849365234375,DSCT,0.64,1.0,0.15816601575423672,,,,2,1,0.723329,1.131106328110499,20.276939,-0.0234,0.5931,0,0,,0,,True,True,N,N,False
193,zg,1809111300042550,5.068598,59.3185846,48,0.9972669633050284,0.10192073250336252,0.29339776483679303,2800.0,0.31387677669369346,0.06178454958369813,20.279579162597656,0.13373927772045135,19.968114852905273,20.619138717651367,EB_ESD,0.32,1.0,0.04787025735430146,LGGS J002016.48+591906.9,0.16748,Em*,1,0,0.060043,0.0,19.368647,-0.1621,0.2372,0,0,,0,,True,True,N,N,False
191,zg,806103100040228,5.0437494,59.3071365,35,0.056173867013136584,0.0011681704539470883,0.12756509951768852,0.9973230368905218,0.5372115101541661,0.04091754437721135,21.401165008544922,0.26690900325775146,20.494117736816406,21.80755043029785,DSCT,0.6,1.0,0.12756573817455044,,,,1,0,0.53701,0.0,21.04631,,,0,0,,0,,True,True,N,N,False
193,zg,806103100040182,5.0685601,59.3186078,275,0.0021410710488518345,2.4080560366208218e-23,1608.4932847631014,1.0000143393856216,0.3558957296005349,0.08274236131453769,20.16647720336914,0.16752032935619354,19.70359230041504,20.678516387939453,NonVar,0.33,0.0,1511.9616666,LGGS J002016.48+591906.9,0.16748,Em*,1,0,0.060043,0.0,19.368647,-0.1621,0.2372,0,0,,0,,True,True,N,N,False
196,zg,1809111300004524,5.0782641,59.3184831,66,0.9999985977943,0.019295486613915093,0.2130330835622606,2800.0,0.28491911519441165,0.04883478973905977,15.216798782348633,0.01207729335874319,15.188855171203613,15.244011878967285,DSCT,0.58,1.0,0.21302984536741,,,,1,0,0.059464,0.0,14.563454,0.4179,0.0187,1,0,,0,,True,False,N,N,False
196,zg,806103100019624,5.0782589,59.3184943,346,0.9999999999999996,0.0007793916060014425,94.8533855200925,1.0000143393856216,0.08383452610682969,0.019393106810273394,15.2353515625,0.0162525437772274,15.172012329101562,15.287894248962402,LPV_OSARG_RGB,0.42,1.0,94.4976041625,,,,1,0,0.059464,0.0,14.563454,0.4179,0.0187,1,0,,0,,True,False,N,N,False
197,zg,806103100045159,5.101386,59.3045742,324,2.470504728420771e-18,0.004044965734509102,1.577688177681554,1.0000143393856216,0.07923038252255173,0.00018546796773487737,19.166074752807617,0.10161322355270386,18.65247344970703,19.43474578857422,EB_ED,0.49,1.0,1.5776991303652175,,,,1,0,0.069831,0.0,17.905558,0.8978,0.1007,1,0,,0,,True,False,V,V,False
197,zg,1809111300045834,5.1014264,59.3045498,63,0.0016182113917231297,0.024652599651345378,0.9973965996623295,2800.0,0.2897042913273064,0.9959008366573124,19.135034561157227,0.09988449513912201,18.69396209716797,19.323610305786133,NonVar,0.56,1.0,0.04415227261146452,,,,1,0,0.069831,0.0,17.905558,0.8978,0.1007,1,0,,0,,True,False,N,V,False
201,zg,806103100036245,5.1012007,59.3014161,98,0.003911881546169,0.004151473056112961,1.2091100406096813,1.000004113884393,0.22795851299043018,0.014601821154531775,20.80681610107422,0.21751998364925385,19.894084930419922,21.311307907104492,DSCT,0.65,1.0,0.06901985108487702,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,True,True,N,N,False
203,zg,1809111300005056,5.043421,59.300215,48,0.988041993918134,0.005970551915014398,0.2480232635186831,2800.0,0.40178571713056627,0.019369507785094286,20.332170486450195,0.1406039446592331,19.995529174804688,20.674413681030273,DSCT,0.85,1.0,0.16295651987403742,,,,1,0,0.081349,0.0,19.071255,0.4826,0.2057,1,0,,0,,True,False,N,N,False
194,zg,806103100045139,5.0476745,59.3124042,18,1.1536504946706378e-05,0.01839811713640131,0.10686758216790296,0.4993300208819992,0.6894833344992094,0.14063671218774906,21.393796920776367,0.4102724492549896,20.573314666748047,22.183082580566406,DSCT,0.54,1.0,0.03201479898751629,[HL90]  28,0.729363,HII,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,True,True,N,N,False
203,zg,806103100020116,5.0433846,59.3002378,243,0.9996730994935811,0.0011646124360018097,0.9646673215810087,1.0000143393856216,0.1118450405448047,0.0456571759178097,20.388643264770508,0.13988426327705383,19.936368942260742,20.803049087524414,DSCT,0.48,1.0,0.21131539714884698,,,,1,0,0.081349,0.0,19.071255,0.4826,0.2057,1,0,,0,,True,False,N,N,False
201,zg,1809111300037342,5.1012867,59.3013492,14,0.014991668192620936,0.0017349697534516176,0.48469067055225445,2800.0,0.8909468224248478,0.7780585175879814,20.75984001159668,0.2550326883792877,20.02530860900879,21.140674591064453,DSCT,0.47,1.0,0.07645536957505454,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,True,True,N,N,False
204,zg,806103100019714,5.0904057,59.315778,277,0.9992140915518102,0.00568692194556808,0.10639720011038505,1.0000143393856216,0.088871696393945,0.001587162992871728,20.183290481567383,0.1276925504207611,19.668235778808594,20.601646423339844,NonVar,0.67,1.0,0.03799566925338627,,,,1,0,0.020552,0.0,19.283195,-0.0236,0.2253,0,0,,0,,True,True,N,N,False
204,zg,1809111300004619,5.090424,59.3157784,49,0.8164843011297201,0.0033070377593459824,0.19870370747436344,2800.0,0.411135304632908,0.024311114675154642,20.16954231262207,0.15449656546115875,19.80649757385254,20.589427947998047,DSCT,0.31,1.0,0.1987008902511687,,,,1,0,0.020552,0.0,19.283195,-0.0236,0.2253,0,0,,0,,True,True,N,N,False
206,zg,1809111300052794,5.0697759,59.2887191,10,0.2667450476037121,0.05058077916410435,0.11388572263742584,2800.0,0.8982446042314856,0.9825401340971253,20.760568618774414,0.25623205304145813,20.377321243286133,21.319290161132812,DSCT,0.47,1.0,0.12157165213279778,,,,1,0,0.056089,0.0,19.784306,0.2911,0.3466,0,0,,0,,True,True,N,N,False
213,zg,806103100036173,5.0439222,59.3092367,70,4.722980164764684e-06,0.003174825904346948,0.5276148128264725,0.9973598635769475,0.3018382997382806,0.031071147501572482,21.290130615234375,0.29068753123283386,20.191755294799805,21.917720794677734,NonVar,0.44,1.0,0.03025264246563354,,,,1,0,0.112812,0.0,20.128942,0.545,0.5204,1,0,,0,,True,False,V,V,False
214,zg,806103100036293,5.0460198,59.2962273,11,0.4045965533687235,0.0015057642896399211,0.3626474991455188,0.49934460768739514,0.9338248784073503,0.30051805854879227,21.57769775390625,0.24675461649894714,20.96566390991211,21.843093872070312,NonVar,0.47,1.0,0.04451705512493438,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,True,True,N,N,False
2874,zg,806103100049590,5.0850493,59.2900357,41,3.975609654156131e-24,0.0003897991100423773,0.9945715256737216,0.9999869942879513,0.5164666800561746,0.11570756210274191,20.58327293395996,0.35133108496665955,19.513675689697266,21.361923217773438,EB_ESD,0.22,1.0,0.9945551647199361,LGGS J002020.20+591724.1,1.622966,Em*,1,0,1.598991,0.0,20.124643,1.4437,0.683,1,0,,0,,True,False,V,V,False
209,zg,806103100029916,5.1013174,59.3002694,32,0.2072942176831044,0.012091838686317698,0.22299397646928287,0.9999222585337696,0.48955566464935457,0.04115973580152934,21.303056716918945,0.27004173398017883,20.65961265563965,21.981807708740234,DSCT,0.85,1.0,0.08677776767670839,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,True,True,N,N,False
213,zg,1809111300037257,5.0438597,59.3092189,13,0.7818816704807549,0.003211595065082223,1.897870744944645,2800.0,0.8958971175800259,0.1471110719068105,21.256460189819336,0.21863162517547607,20.800594329833984,21.639564514160156,DSCT,0.76,1.0,0.08458573996761759,,,,1,0,0.112812,0.0,20.128942,0.545,0.5204,1,0,,0,,True,False,N,V,False
212,zg,806103100047225,5.0493918,59.2936998,44,0.6881503970213412,0.03557294294831282,0.3331072970954588,0.9999478929399174,0.3577425845936322,0.1341523084315385,21.501422882080078,0.25046607851982117,20.913673400878906,22.172969818115234,DSCT,0.49,1.0,0.032763242465389704,LGGS J002011.89+591737.6,0.277628,Em*,1,0,0.270862,0.0,20.397434,-0.6382,0.5808,0,0,,0,,True,True,N,N,False
218,zg,806103100042741,5.0970704,59.2950527,118,0.620253821554416,4.3777692666846465e-05,29.485472154069214,0.9973613360354121,0.2548672715667789,0.3211455275121825,21.080516815185547,0.21006272733211517,20.29157257080078,21.563648223876953,DSCT,0.78,1.0,0.09653731947654898,LGGS J002023.35+591742.2,0.25901,WR*,1,0,0.079459,0.0,20.251778,0.2824,0.5816,0,0,,0,,True,True,N,N,False
221,zg,806103100045158,5.102567,59.3050011,172,0.023900378575295155,0.0012043417198940526,0.1293513621448384,0.9973491081343425,0.15389901711898762,0.00048139947658977495,19.913469314575195,0.12648451328277588,19.394622802734375,20.145706176757812,NonVar,0.48,1.0,0.05690526355974713,[TG2009] 45,0.303828,Cl*,1,0,0.005126,0.0,19.14435,0.1511,0.228,0,0,,0,,True,True,N,N,False
218,zg,1809111300037398,5.0972427,59.2950176,15,0.4073716853015192,0.0027779445760771344,0.14762870298090472,2800.0,0.8562257225060808,0.33136777757505564,21.04598045349121,0.23435728251934052,20.428325653076172,21.338756561279297,RRL_e,0.39,1.0,0.2775121485353951,LGGS J002023.35+591742.2,0.25901,WR*,1,0,0.079459,0.0,20.251778,0.2824,0.5816,0,0,,0,,True,True,N,N,False
221,zg,1809111300051778,5.1026114,59.3050039,29,0.9803733587544348,0.011448080515423571,0.10747031385116074,2800.0,0.5490573736861705,0.03939700774305291,19.941226959228516,0.10701711475849152,19.708499908447266,20.193347930908203,DSCT,0.53,1.0,0.04222135867883467,[TG2009] 45,0.303828,Cl*,1,0,0.005126,0.0,19.14435,0.1511,0.228,0,0,,0,,True,True,N,N,False
223,zg,806103100029881,5.1027612,59.3033554,325,0.9942994083346598,0.014010962469061335,0.3135067764159098,1.0000143393856216,0.07183711932076121,0.0019271480819122444,18.98052215576172,0.06469721347093582,18.704694747924805,19.29415512084961,NonVar,0.58,1.0,0.31351154270113357,[TG2009] 46,0.448319,Cl*,2,1,0.306014,1.6623032841121892,19.217428,,,0,0,,0,,True,True,N,N,False
222,zg,1809111300037217,5.0510159,59.3153154,40,0.918331183662276,0.09929289373623872,0.21301541602307283,2800.0,0.36393519686598635,0.019191995937991518,20.584585189819336,0.17580601572990417,20.248279571533203,20.873401641845703,DSCT,0.51,1.0,0.03225349618873928,,,,1,0,0.19513,0.0,19.767191,-0.1148,0.3428,0,0,,0,,True,True,N,N,False
223,zg,1809111300028669,5.1028482,59.3033417,63,0.9913905277738361,0.14804073604543347,0.8711784342175447,2800.0,0.24104001634299121,0.009309933663639962,18.975324630737305,0.06006134673953056,18.806880950927734,19.112926483154297,NonVar,0.47,1.0,0.0457103507198115,[TG2009] 46,0.448319,Cl*,2,1,0.306014,1.6623032841121892,19.217428,,,0,0,,0,,True,True,N,N,False
222,zg,806103100036120,5.0509189,59.3153365,206,0.06037811530854756,0.004260760612224794,0.3572073274767667,1.0000175167475613,0.1181244029275645,0.03379704492445862,20.638843536376953,0.19401668012142181,19.926410675048828,21.1341552734375,NonVar,0.69,1.0,0.032476646581319824,,,,1,0,0.19513,0.0,19.767191,-0.1148,0.3428,0,0,,0,,True,True,N,N,False
224,zg,1809111300004486,5.0660073,59.3193346,48,0.9722063463182651,0.0015930544619685721,1.193831587574136,2800.0,0.43752110478706385,0.06248233560165536,20.322668075561523,0.14819909632205963,19.91994285583496,20.719329833984375,DSCT,0.6,1.0,0.1240692161616149,,,,1,0,0.097178,0.0,19.014429,0.227,0.2043,1,0,,0,,True,False,N,N,False
224,zg,806103100019593,5.0659418,59.31935,255,0.9987688395612649,0.0006525405699881768,0.5025566133341259,1.0000143393856216,0.1114517285741516,0.017551801620081842,20.366580963134766,0.14382608234882355,19.784225463867188,20.799007415771484,RRL_ab,0.3,1.0,0.5025354531132284,,,,1,0,0.097178,0.0,19.014429,0.227,0.2043,1,0,,0,,True,False,N,N,False
226,zg,1809111300028528,5.0480356,59.3138292,49,0.13554831026303496,0.03438222770695222,0.17544513390856636,2800.0,0.3430175884792337,0.0054477376864178004,19.872676849365234,0.1500755250453949,19.46976089477539,20.211894989013672,DSCT,0.87,1.0,0.17544733411852972,[TG2009] 18,0.640597,Cl*,4,1,0.269213,1.3945264469127043,19.78858,,,0,0,,0,,True,True,N,V,False
226,zg,806103100019748,5.0480058,59.3138469,282,2.8619709313550422e-08,0.002986993299606201,15.220071219754228,1.0000143393856216,0.09183666869154007,0.006038727953197501,19.8690185546875,0.13800252974033356,19.080232620239258,20.262638092041016,NonVar,0.68,1.0,0.032758587068118794,[TG2009] 18,0.640597,Cl*,4,1,0.269213,1.3945264469127043,19.78858,,,0,0,,0,,True,True,V,V,False
227,zg,806103100020051,5.0411173,59.3027916,27,0.6127836847963481,0.02042609360879334,0.2166336790917762,0.997317519591914,0.5342832905603501,0.00990078271376273,21.491363525390625,0.24811647832393646,21.015830993652344,21.95791244506836,DSCT,0.65,1.0,0.03040551596198897,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,True,True,N,N,False
225,zg,806103100036327,5.0936922,59.2924838,314,0.9870641660148226,0.00753034111067622,0.10309621521003924,1.0000143393856216,0.07778619792587368,0.02611943096491665,18.88947868347168,0.06082174554467201,18.534839630126953,19.111433029174805,NonVar,0.72,1.0,0.1030953246766825,2MASS J00202240+5917332,0.734287,Star,2,1,0.110828,3.3132274260268826,18.035748,-0.2055,0.1076,0,0,,0,,True,True,N,N,False
228,zg,1809111300042547,5.0630858,59.3190987,13,0.8607160238328252,0.0009397942379901357,0.10969192827497788,2800.0,0.9240716399729089,0.2620304084341289,21.04235076904297,0.19595615565776825,20.72422218322754,21.448270797729492,DSCT,0.68,1.0,0.10969445397722627,,,,1,0,0.049169,0.0,19.676773,0.4502,0.2992,1,0,,0,,True,False,N,N,False
225,zg,1809111300005322,5.093735,59.2924742,62,0.7955581449296759,0.0015078105087611069,0.7506801876545335,2800.0,0.3609816490590343,0.10855581623493402,18.87348175048828,0.06643800437450409,18.7227725982666,19.009159088134766,RRL_ab,0.57,1.0,0.7508009755495972,2MASS J00202240+5917332,0.734287,Star,2,1,0.110828,3.3132274260268826,18.035748,-0.2055,0.1076,0,0,,0,,True,True,N,N,False
228,zg,806103100029683,5.0630142,59.319145,116,0.3190907900446994,0.00012422712302984754,1.0350197833406525,0.9973430227495041,0.24479205413422173,0.22793129968847745,21.154146194458008,0.22027456760406494,20.207275390625,21.588056564331055,DSCT,0.71,1.0,0.08702891015061823,,,,1,0,0.049169,0.0,19.676773,0.4502,0.2992,1,0,,0,,True,False,N,N,False
229,zg,1809111300004512,5.0826538,59.3188922,66,0.9836489338349279,0.0037747243581544316,0.2130330835622606,2800.0,0.3231411342357141,0.04883478973905986,16.728824615478516,0.021605387330055237,16.677051544189453,16.778629302978516,DSCT,0.52,1.0,0.21302984536741,,,,1,0,0.138664,0.0,15.87546,2.8084,0.7002,1,0,,0,,True,False,N,N,False
229,zg,806103100019611,5.0826654,59.3189029,346,0.9999320662813688,0.00013840548015282337,333.0322083650768,1.0000143393856216,0.0931957410423594,0.12515919860407304,16.7525577545166,0.024368640035390854,16.67603302001953,16.811141967773438,NonVar,0.68,1.0,0.9942755370013152,,,,1,0,0.138664,0.0,15.87546,2.8084,0.7002,1,0,,0,,True,False,N,N,False
234,zg,806103100029688,5.0602698,59.3187716,291,0.999996399371207,0.0001222452350795009,0.11253281681103018,1.0000143393856216,0.10976548253130829,0.017115143192152685,20.031768798828125,0.11678005754947662,19.661001205444336,20.45980453491211,DSCT,0.39,1.0,0.1125334309127447,,,,2,1,0.293133,1.6116466845327173,19.029526,0.2757,0.2537,1,0,,0,,True,False,N,N,False
234,zg,1809111300004501,5.0603069,59.3187807,57,0.9795332868728854,0.07080175140919266,0.11050514231194845,2800.0,0.28339395229083364,0.0430446310320076,20.01250457763672,0.11774048209190369,19.660295486450195,20.27618408203125,DSCT,0.53,1.0,0.04741927662298076,,,,2,1,0.293133,1.6116466845327173,19.029526,0.2757,0.2537,1,0,,0,,True,False,N,N,False
231,zg,1809111300028815,5.0964081,59.2937114,44,0.8948428151798614,0.050134737741086385,0.32342706969677754,2800.0,0.3609555863609442,0.0796169218642616,20.137470245361328,0.13491840660572052,19.74527931213379,20.3466796875,RRL_d,0.29,1.0,0.32344939160660124,LGGS J002023.16+591737.7,0.42054,Em*,3,1,0.302883,2.9068766827266703,19.785238,-0.0873,0.4426,0,0,,0,,True,True,N,N,False
231,zg,806103100045207,5.0964229,59.2936826,258,0.5318210197786799,0.002171366033785044,36.93117176859324,1.0000143393856216,0.10189928951257918,0.014419463111924153,20.11342430114746,0.13685154914855957,19.555612564086914,20.441314697265625,RRL_ab,0.54,1.0,0.5065763904176904,LGGS J002023.16+591737.7,0.42054,Em*,3,1,0.302883,2.9068766827266703,19.785238,-0.0873,0.4426,0,0,,0,,True,True,N,N,False
233,zg,806103100045152,5.0410167,59.3069076,15,3.9394893594510495e-06,0.0006972679724708536,0.35797474227045273,0.4993214478046496,0.8865853847906721,0.6870858131621403,21.483642578125,0.4136044979095459,20.50385284423828,21.95841407775879,DSCT,0.66,1.0,0.06123978824322698,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,True,True,V,V,False
